,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,temp,pvdd,cqload,lmin,wmin,toxe_n,toxm_n,toxref_n,toxe_p,toxm_p,toxref_p,toxp_par,xj_n,xj_p,ndep_n,ndep_p,P_leak
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,-12.34877919858419,0.8316827580741797,1.7649365439401461e-15,2.450528608082451e-08,2.2793369185175711e-07,1.0204967637495725e-09,1.0061812198925743e-09,1.0299874942841475e-09,8.007527651090867e-10,1.1187269544620771e-09,1.1287158473231033e-09,1.0466784402569405e-09,7.3345676374589504e-09,7.425103230357786e-09,5.450453687542023e+18,4.396484841096952e+18,7.288960e-03
1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,-4.201638778968537,0.7337912624495122,8.04006742266452e-16,2.321037603262086e-08,2.2397695423847957e-07,1.035178520636432e-09,1.0711433965753733e-09,1.069344742542922e-09,8.327270678991763e-10,1.0670234775190958e-09,1.1085785046560233e-09,1.0835976728190593e-09,7.189449898490167e-09,7.043501626372283e-09,5.602063262891234e+18,4.332460036773543e+18,1.070403e-02
2,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,-45.619959353776274,0.7453090684431535,3.6635510515506725e-15,2.51523247905153e-08,2.234423151976454e-07,1.0731656783774409e-09,9.75355018854104e-10,1.0339286318992605e-09,8.322304488101413e-10,1.1100827549104967e-09,1.0963471477183684e-09,1.0493473591029118e-09,6.8243010987244855e-09,7.070909373018024e-09,5.411081731663818e+18,4.5883404054627226e+18,8.939573e-03
3,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,33.507972661239975,0.7618668427066722,3.4707419197587834e-15,2.445194649055636e-08,2.306075123042663e-07,1.0026754958840708e-09,1.0857230303533001e-09,1.0647136799056979e-09,7.684021325251641e-10,1.0902229830661693e-09,1.1501968643657702e-09,1.1025984303666637e-09,7.110920217265168e-09,7.22333789285168e-09,5.680686487685661e+18,4.447820301886576e+18,1.043361e-02
4,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,92.66057175378293,0.7240434770617089,1.9048132409295074e-15,2.4100838120178543e-08,2.3468390300896066e-07,1.0975013809037076e-09,1.0332024618021247e-09,1.0682085330601663e-09,8.323532658771885e-10,1.092289112600282e-09,1.0583790827951445e-09,1.127673640626039e-09,7.1676467316217805e-09,7.061108423086616e-09,5.576415295432549e+18,4.1695369632552407e+18,7.686662e-03
5,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,59.866166717831845,0.8782055974300716,1.274961362090297e-15,2.4906195193457313e-08,2.3171614156961684e-07,1.0426525104016091e-09,1.0483119887410818e-09,1.0127153281586865e-09,8.009890325537725e-10,1.1502042330343872e-09,1.1110068056874529e-09,1.1203231533288197e-09,6.642720641152252e-09,7.296549769574393e-09,5.595303623547614e+18,4.565507285943308e+18,1.025784e-02
6,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,90.8927898942676,0.7804460124595386,1.2944768976501118e-15,2.412683070426912e-08,2.2557747147887396e-07,1.102473875045853e-09,1.0714012228567231e-09,1.090424864561286e-09,7.813300392277335e-10,1.1378177174284608e-09,1.1030708890194026e-09,1.0932461267550871e-09,7.3706551578762214e-09,7.089131018302703e-09,5.540033024798634e+18,4.3381154649085804e+18,1.116678e-02
7,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,47.32472359663686,0.8186648057185453,1.306488381799513e-15,2.5188754518311748e-08,2.320172889421078e-07,9.685495253516773e-10,1.0561650147042702e-09,1.0598110977041257e-09,8.126827463394617e-10,1.1343455545687606e-09,1.0916187698647838e-09,1.0973804970243465e-09,7.141934280026817e-09,7.420605478865006e-09,5.262115792533649e+18,4.241398750532272e+18,9.959175e-03
8,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,105.4130292010062,0.8316202370139897,2.8475473662390808e-15,2.4211669868811662e-08,2.1772865602086483e-07,1.0089587476140753e-09,1.0687346604619909e-09,1.0510792677818165e-09,8.00526578365268e-10,1.115555754983337e-09,1.1357577446036519e-09,1.0259353684317689e-09,7.244434255683246e-09,6.9863156653831186e-09,5.421520625785608e+18,4.3075679990136827e+18,8.902294e-03
9,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,-14.335160082228477,0.82422791563249,8.508992351381313e-17,2.26248593492461e-08,2.3092319293573484e-07,1.065906402680957e-09,9.683700726789207e-10,1.042457052825665e-09,8.08030193720839e-10,1.0807363392072526e-09,1.1167939428753383e-09,1.1035731428207674e-09,7.350450837442723e-09,6.855360017782015e-09,5.369989848290199e+18,4.32600102522173e+18,1.017391e-02
10,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,45.26075526344812,0.7571357666988014,4.908071366649366e-15,2.321145354320168e-08,2.29505675690414e-07,1.0089713404651889e-09,1.0286948029445388e-09,1.0230485302952193e-09,8.148820496482188e-10,1.0856131328383419e-09,1.1279595710018378e-09,1.0693429525917145e-09,7.415463619662361e-09,6.891759115118289e-09,5.38668742308531e+18,4.340124662445448e+18,9.375670e-03
11,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,-51.76628068331219,0.8773136025043875,3.1079196373907083e-15,2.4917873350565835e-08,2.3206865553118228e-07,9.637672380759049e-10,1.0319366279023071e-09,9.502296751859558e-10,8.077927294182827e-10,1.0643812388791987e-09,1.0528383364375909e-09,1.0908191494462837e-09,6.929957601605508e-09,7.347904738621714e-09,5.522743182269812e+18,4.410342875621027e+18,1.042779e-02
12,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,103.76849913533596,0.804656235028479,3.346742670918061e-15,2.407579767260128e-08,2.3637992155411697e-07,1.0438161586253822e-09,1.0798492892030076e-09,1.1488095658039374e-09,7.626984304320454e-10,1.1048146900876994e-09,1.1495952093886449e-09,1.0764609621211636e-09,7.144774042100652e-09,7.386572724539692e-09,5.670442296279233e+18,4.062029324284775e+18,1.174868e-02
13,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,-30.963157497246648,0.7750032336412145,9.339499458420403e-17,2.3177572953611275e-08,2.3269362819673397e-07,1.0020546314878562e-09,1.049063244815683e-09,1.078907175722588e-09,7.990625733103068e-10,1.1119625445503614e-09,1.143150879640649e-09,1.0759723308418194e-09,7.138925491888523e-09,6.727207101396427e-09,5.661086286918238e+18,4.544970284232495e+18,9.740533e-03
14,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,123.20821553295664,0.7967195613941631,1.8288150950947052e-15,2.4757385920350767e-08,2.2292136100178187e-07,1.0427497228496613e-09,1.0136220620502068e-09,1.0597721482823063e-09,7.960287667219566e-10,1.097957159713029e-09,1.1451405097942184e-09,1.1481439660229837e-09,7.118822763863284e-09,7.483041122355952e-09,5.46270428351936e+18,4.719618299699278e+18,8.146834e-03
15,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,120.23729883353067,0.8662592474018991,3.3046397527655555e-15,2.322375537746635e-08,2.1829793796093757e-07,1.0199452632692793e-09,1.0743280569812538e-09,9.931824296335784e-10,8.234441741433537e-10,1.0994383011395198e-09,1.063545206273435e-09,1.1031413687066602e-09,7.12169840023311e-09,6.754445555887236e-09,5.537816000122425e+18,4.5061491648856187e+18,8.053973e-03
16,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,14.261630977043879,0.825547088692028,4.270119476271643e-15,2.5110500734451534e-08,2.270632695005046e-07,1.0109772666371071e-09,1.0674064530685986e-09,9.99792344605985e-10,8.15076302148095e-10,1.0914265423228641e-09,1.1205433950318114e-09,1.1818904478015478e-09,7.51461483089906e-09,7.317799117483536e-09,5.672807685184551e+18,4.3618566487168763e+18,1.173634e-02
17,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,16.426361186208027,0.8311761599449451,4.8436794317093535e-15,2.395193140376824e-08,2.2433254056501097e-07,1.086372001966107e-09,1.0167680930219461e-09,1.0542046544161433e-09,8.040853430378189e-10,1.1568629479379167e-09,1.1165086834676042e-09,1.0783574789894605e-09,7.008703356238196e-09,7.103412160482701e-09,5.58089267983745e+18,4.5316332811009843e+18,7.481340e-03
18,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,7.351950393929698,0.7273681015988775,3.1173204889651865e-16,2.4501183648922093e-08,2.2630575860752182e-07,1.0378143318461317e-09,1.0514587336726502e-09,1.1201811722583222e-09,7.769965935993502e-10,1.0624231471961145e-09,1.1359811518312505e-09,1.0024540639572294e-09,7.021649764047016e-09,7.200569573512168e-09,5.575573003720053e+18,4.315390809824088e+18,7.931458e-03
19,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,-50.81168102601572,0.720251955142617,1.1380382220721473e-15,2.3816638995303604e-08,2.3861903073143347e-07,1.055833985291e-09,1.0530303250281795e-09,1.0608218005301928e-09,8.325823531135592e-10,1.1168828399668086e-09,1.0567474089726007e-09,1.1904904017567457e-09,7.006876532808677e-09,7.278389267874045e-09,5.878397715990957e+18,4.305231348035254e+18,8.742616e-03
20,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,55.611867540338366,0.865505151147876,1.6102414097854798e-15,2.5605258996193914e-08,2.401130974038556e-07,1.0451790737285519e-09,1.0510702139780368e-09,1.0745431717798285e-09,7.935777468893209e-10,1.0750091199881893e-09,1.0629202639433085e-09,1.125895267385985e-09,7.095773657294613e-09,6.9065055394855614e-09,5.446864217958229e+18,4.4938186161533194e+18,6.323803e-03
21,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,-3.2549636388017618,0.8470734561868702,1.0306103700412414e-15,2.4016350957515158e-08,2.3774509319230738e-07,1.09604070997588e-09,1.0515590165388358e-09,1.0111070849440726e-09,7.724124365056417e-10,1.1015622218914364e-09,1.0874590769875523e-09,1.1808444924451361e-09,6.889324326135296e-09,7.351607392351046e-09,5.377475668788068e+18,4.412859507494422e+18,1.050204e-02
22,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,-0.19105186968810983,0.846183542188863,8.626535049617449e-16,2.5334468913652136e-08,2.3259721793221002e-07,1.0996691114039895e-09,1.0263258418255981e-09,1.015642873882147e-09,8.426617047357741e-10,1.125778497464999e-09,1.1258908771445263e-09,1.1093392844478088e-09,7.392930249022663e-09,6.7158499893882915e-09,5.360776164338972e+18,4.1670162130596833e+18,8.329725e-03
23,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,35.46553659748918,0.7768352298520379,3.6672706552646826e-15,2.6081761640158962e-08,2.2736362371341102e-07,1.0646202254273625e-09,1.0616955290343284e-09,1.0923227136115145e-09,7.847701977747776e-10,1.0334180144267592e-09,1.0924243032651809e-09,1.0816793706605403e-09,6.963520701533654e-09,7.482043388266727e-09,5.479980242960901e+18,4.508559360815485e+18,7.821646e-03
24,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,-1.1842909783074091,0.724800660145662,4.875268541910227e-15,2.4852862575985762e-08,2.2619809640167536e-07,1.1276978256405998e-09,1.038893445401861e-09,9.795345846860391e-10,7.869459685782282e-10,1.1032246264469946e-09,1.0441429429322386e-09,1.1449762517363282e-09,7.549180557557272e-09,7.235328161673208e-09,5.243444485389658e+18,4.617814056652777e+18,7.455888e-03
